epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.432,1.00272,2.64708,1.37478,1,0.1122,0.31233,0.23566,0.70694,2.91283,1.10764,0.00022864,0.00022864,0.00022864
2,206.466,0.81769,1.46403,1.24529,0.81,0.359,0.61694,0.42686,0.86485,2.31135,1.27227,0.000470014,0.000470014,0.000470014
3,310.114,0.79578,1.29553,1.22546,0.72696,0.48012,0.58366,0.41673,0.83702,1.80583,1.38696,0.000709784,0.000709784,0.000709784
4,412.318,0.87199,1.3011,1.24842,0.61651,0.59316,0.71324,0.5059,0.9363,1.76488,1.45657,0.000947951,0.000947951,0.000947951
5,518.086,0.86514,1.25076,1.25646,0.88099,0.6543,0.87177,0.58477,0.92258,1.56661,1.41122,0.00118452,0.00118452,0.00118452
6,973.994,0.84303,1.14332,1.23128,0.8733,0.65019,0.77574,0.49662,1.03605,1.71187,1.48534,0.00140542,0.00140542,0.00140542
7,1072.75,0.92351,1.16445,1.28464,0.71118,0.73911,0.83544,0.5576,1.05865,1.95083,1.55934,0.00140071,0.00140071,0.00140071
8,1174.02,0.82824,1.02325,1.20996,0.74066,0.67721,0.75547,0.4809,0.9094,1.62089,1.36247,0.00139599,0.00139599,0.00139599
9,1275.39,0.89541,1.02731,1.2546,0.67673,0.81949,0.78173,0.5105,0.91474,1.89296,1.35486,0.00139127,0.00139127,0.00139127
10,1377.39,0.81146,0.95649,1.1869,0.7903,0.84771,0.90362,0.62776,0.85985,1.42298,1.24613,0.00138656,0.00138656,0.00138656
11,1480.34,0.84598,0.97146,1.22,0.83356,0.74796,0.82876,0.49697,0.99725,1.51711,1.43424,0.00138184,0.00138184,0.00138184
12,1586.62,0.82462,0.94767,1.22652,0.56094,0.67992,0.74264,0.50172,0.91086,1.57841,1.32331,0.00137713,0.00137713,0.00137713
13,1692.59,0.81757,0.92143,1.20834,0.84602,0.82512,0.89486,0.66995,0.71248,1.13844,1.17107,0.00137241,0.00137241,0.00137241
14,1798.9,0.77912,0.83631,1.1821,0.74589,0.96265,0.93735,0.69644,0.79499,1.05279,1.23009,0.0013677,0.0013677,0.0013677
15,1907.13,0.77022,0.79673,1.13273,0.90264,0.88753,0.89534,0.63475,0.71781,0.89418,1.12307,0.00136298,0.00136298,0.00136298
16,2013.23,0.7898,0.77568,1.18402,0.825,0.69116,0.80854,0.47501,0.87111,1.10093,1.34527,0.00135826,0.00135826,0.00135826
17,2122.3,0.77012,0.81996,1.18979,0.92462,0.5506,0.69339,0.48633,0.76996,1.04846,1.23623,0.00135355,0.00135355,0.00135355
18,2228.92,0.75453,0.77516,1.16819,0.74912,0.69197,0.80267,0.59043,0.70801,0.9258,1.11245,0.00134883,0.00134883,0.00134883
19,2337.12,0.7636,0.75064,1.17737,0.80664,0.79767,0.8594,0.58334,0.84934,0.95046,1.24211,0.00134412,0.00134412,0.00134412
20,2443.87,0.78878,0.76773,1.19174,0.82841,0.94187,0.90463,0.64689,0.68956,0.81013,1.03297,0.0013394,0.0013394,0.0013394
21,2552.2,0.75124,0.75663,1.15197,0.90605,0.89191,0.9044,0.69071,0.63967,0.65848,1.04621,0.00133469,0.00133469,0.00133469
