epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33758,1.02365,2.9105,1.5298,0.00409,1,0.48219,0.39409,0.70653,3.27591,1.41624,0,0,0
2,11.007,1.22368,2.88605,1.52052,0.00407,1,0.49604,0.40551,0.70854,3.28018,1.39163,1.6505e-05,1.6505e-05,1.6505e-05
3,16.6267,0.972,2.80828,1.39424,0.00399,1,0.572,0.45387,0.69061,3.26694,1.37184,3.26799e-05,3.26799e-05,3.26799e-05
4,22.225,0.92986,2.83939,1.36066,0.00394,1,0.60104,0.48281,0.65896,3.2571,1.33345,4.85247e-05,4.85247e-05,4.85247e-05
5,27.8613,0.82433,2.82308,1.35284,0.00383,1,0.61493,0.49881,0.65159,3.20254,1.33182,6.40395e-05,6.40395e-05,6.40395e-05
6,33.6332,0.86439,2.74588,1.35477,0.00372,1,0.74625,0.5928,0.58483,3.18121,1.33363,7.92242e-05,7.92242e-05,7.92242e-05
7,39.2672,0.88282,2.67754,1.38046,0.00368,1,0.74625,0.62808,0.52288,3.20498,1.30577,9.40788e-05,9.40788e-05,9.40788e-05
8,44.9218,0.78191,2.51873,1.20338,0.00363,1,0.82917,0.65084,0.55621,3.20929,1.32218,0.000108603,0.000108603,0.000108603
9,51.2038,0.85243,2.43783,1.3735,0.00354,1,0.82917,0.66321,0.627,3.2128,1.35684,0.000122798,0.000122798,0.000122798
10,58.3086,0.67095,2.30232,1.19982,0.00348,1,0.82917,0.68268,0.62071,3.19238,1.36275,0.000136662,0.000136662,0.000136662
11,64.7295,0.6679,2.17285,1.22703,0.00346,1,0.82917,0.70199,0.54691,3.12915,1.3646,0.000150197,0.000150197,0.000150197
12,70.7584,0.8291,2.09307,1.21062,0.00344,1,0.82917,0.69633,0.52259,3.1289,1.39914,0.000163401,0.000163401,0.000163401
13,76.4273,0.87689,1.93095,1.47334,0.00342,1,0.74625,0.6206,0.71065,3.08084,1.5004,0.000176275,0.000176275,0.000176275
14,81.9823,0.61209,1.75629,1.12407,0.00342,1,0.74625,0.57619,0.75666,3.07529,1.52319,0.000188819,0.000188819,0.000188819
15,87.5205,0.6482,1.71547,1.21641,0.00338,1,0.74625,0.57619,0.77104,3.08531,1.55699,0.000201034,0.000201034,0.000201034
16,93.0459,0.61644,1.43861,1.12722,0.00335,1,0.87,0.68344,0.79523,3.09175,1.5114,0.000212918,0.000212918,0.000212918
17,98.7095,0.80046,1.48174,1.26696,0.00335,1,0.87,0.65867,0.80051,3.08779,1.53922,0.000224472,0.000224472,0.000224472
18,104.65,0.63271,1.35112,1.08247,0.00335,1,0.87,0.65867,0.80051,3.08779,1.53922,0.000235695,0.000235695,0.000235695
19,110.418,0.69733,1.39118,1.18593,0.00335,1,0.995,0.796,0.77093,3.02971,1.50951,0.000246589,0.000246589,0.000246589
20,116.045,0.72288,1.26523,1.19363,0.00335,1,0.995,0.796,0.77093,3.02971,1.50951,0.000257153,0.000257153,0.000257153
21,122.05,0.68291,1.16189,1.20535,0.00335,1,0.995,0.82077,0.68499,2.93132,1.49182,0.000267387,0.000267387,0.000267387
22,128.578,0.6732,1.32659,1.21792,0.00335,1,0.995,0.82077,0.68499,2.93132,1.49182,0.00027729,0.00027729,0.00027729
23,134.999,0.69118,1.27957,1.26355,0.00335,1,0.995,0.83317,0.71303,2.77399,1.55802,0.000286864,0.000286864,0.000286864
24,141.32,0.58921,1.14783,1.17383,0.00335,1,0.995,0.83317,0.71303,2.77399,1.55802,0.000296108,0.000296108,0.000296108
25,147.655,0.59558,1.24646,1.18417,0.00336,1,0.995,0.7734,0.8197,2.75948,1.61894,0.000305021,0.000305021,0.000305021
26,153.809,0.70382,1.33091,1.17016,0.00336,1,0.995,0.7734,0.8197,2.75948,1.61894,0.000313604,0.000313604,0.000313604
27,160.047,0.57196,1.16149,1.15734,0.00337,1,0.995,0.6981,0.95596,2.76675,1.73661,0.000321858,0.000321858,0.000321858
28,166.253,0.61138,1.08115,1.08152,0.00337,1,0.995,0.6981,0.95596,2.76675,1.73661,0.000329781,0.000329781,0.000329781
29,172.414,0.65008,1.15403,1.14,0.0034,1,0.995,0.64633,0.93344,2.8202,1.73974,0.000337374,0.000337374,0.000337374
30,178.537,0.57418,1.08159,1.12173,0.0034,1,0.995,0.64633,0.93344,2.8202,1.73974,0.000344637,0.000344637,0.000344637
31,185.252,0.59627,1.05303,1.20984,0.00412,1,0.995,0.62179,0.98932,2.84203,1.84959,0.00035157,0.00035157,0.00035157
32,191.457,0.56393,0.91934,1.08194,0.00412,1,0.995,0.62179,0.98932,2.84203,1.84959,0.000358173,0.000358173,0.000358173
33,197.62,0.51301,0.92478,1.05615,0.65866,0.80609,0.91167,0.6794,0.9919,2.73129,1.85775,0.000364446,0.000364446,0.000364446
34,203.876,0.70391,0.99531,1.18989,0.65866,0.80609,0.91167,0.6794,0.9919,2.73129,1.85775,0.000370389,0.000370389,0.000370389
35,210.053,0.53579,0.89825,0.9884,0.89819,0.75992,0.995,0.74606,0.94735,2.54834,1.74677,0.000376002,0.000376002,0.000376002
36,216.513,0.65646,1.02997,1.13549,0.89819,0.75992,0.995,0.74606,0.94735,2.54834,1.74677,0.000381285,0.000381285,0.000381285
37,222.638,0.54412,0.97944,1.06223,0.88433,0.87576,0.995,0.74562,1.02958,2.53286,1.83977,0.000386237,0.000386237,0.000386237
38,231.027,0.55722,0.98202,1.03989,0.88433,0.87576,0.995,0.74562,1.02958,2.53286,1.83977,0.00039086,0.00039086,0.00039086
39,238.98,0.54717,0.96581,1.10444,0.85251,1,0.995,0.74561,1.10879,2.49753,2.02062,0.000395152,0.000395152,0.000395152
40,246.544,0.58445,1.02771,1.13788,0.85251,1,0.995,0.74561,1.10879,2.49753,2.02062,0.000399115,0.000399115,0.000399115
41,253.495,0.58222,0.96657,1.1475,0.68159,1,0.995,0.77039,1.07329,2.43655,2.04911,0.000402747,0.000402747,0.000402747
42,260.297,0.64843,0.96687,1.1343,0.68159,1,0.995,0.77039,1.07329,2.43655,2.04911,0.00040605,0.00040605,0.00040605
43,268.189,0.58433,1.02648,1.08091,0.90666,1,0.995,0.70873,1.05008,2.3488,1.97632,0.000409022,0.000409022,0.000409022
44,274.341,0.51,0.89281,1.04294,0.90666,1,0.995,0.70873,1.05008,2.3488,1.97632,0.000411664,0.000411664,0.000411664
45,281.531,0.57371,0.902,1.04835,0.92101,1,0.995,0.65899,1.1384,2.20686,2.04467,0.000413976,0.000413976,0.000413976
46,287.772,0.5822,1.0709,1.0727,0.92101,1,0.995,0.65899,1.1384,2.20686,2.04467,0.000415958,0.000415958,0.000415958
47,294.229,0.52009,0.89919,1.00275,0.89001,0.93521,0.995,0.65899,1.3161,2.18891,2.24895,0.00041761,0.00041761,0.00041761
48,300.448,0.60469,1.05407,1.14828,0.89001,0.93521,0.995,0.65899,1.3161,2.18891,2.24895,0.000418932,0.000418932,0.000418932
49,306.755,0.48937,0.86655,1.07808,0.88532,0.96587,0.995,0.54632,1.30135,2.30064,2.50783,0.000419924,0.000419924,0.000419924
50,313.085,0.48622,0.8656,1.03941,0.88532,0.96587,0.995,0.54632,1.30135,2.30064,2.50783,0.000420586,0.000420586,0.000420586
51,319.245,0.4574,0.80454,0.98742,0.87134,0.75,0.91167,0.54594,1.23767,2.14698,2.36228,0.000420918,0.000420918,0.000420918
52,325.526,0.49145,0.88948,1.05671,0.87134,0.75,0.91167,0.54594,1.23767,2.14698,2.36228,0.000420919,0.000420919,0.000420919
53,331.879,0.5122,0.88014,1.06672,0.87134,0.75,0.91167,0.54594,1.23767,2.14698,2.36228,0.000420591,0.000420591,0.000420591
54,338.276,0.51357,1.00998,1.10594,0.94181,0.97571,0.995,0.5863,1.21156,1.98766,2.06526,0.000419932,0.000419932,0.000419932
55,345.424,0.62084,0.96539,1.12569,0.94181,0.97571,0.995,0.5863,1.21156,1.98766,2.06526,0.000418944,0.000418944,0.000418944
56,352.715,0.54914,0.94513,1.05821,0.94181,0.97571,0.995,0.5863,1.21156,1.98766,2.06526,0.000417625,0.000417625,0.000417625
57,360.084,0.5341,0.86188,1.05567,0.96509,0.97651,0.995,0.65883,1.17762,1.96455,1.94214,0.000415977,0.000415977,0.000415977
58,367.779,0.54694,0.91922,1.0287,0.96509,0.97651,0.995,0.65883,1.17762,1.96455,1.94214,0.000413998,0.000413998,0.000413998
59,375.134,0.59057,0.99805,1.1344,0.96509,0.97651,0.995,0.65883,1.17762,1.96455,1.94214,0.000411689,0.000411689,0.000411689
60,383.19,0.45912,0.99383,0.99206,0.95167,0.97912,0.995,0.70873,1.034,1.83971,1.67708,0.00040905,0.00040905,0.00040905
61,390.077,0.53874,0.94745,1.06961,0.95167,0.97912,0.995,0.70873,1.034,1.83971,1.67708,0.000406081,0.000406081,0.000406081
62,397.749,0.49018,0.86309,0.99372,0.95167,0.97912,0.995,0.70873,1.034,1.83971,1.67708,0.000402782,0.000402782,0.000402782
63,404.007,0.56184,0.93859,1.08462,0.93974,0.97497,0.995,0.78342,0.92367,1.79091,1.56786,0.000399153,0.000399153,0.000399153
64,410.489,0.4584,0.81494,1.03294,0.93974,0.97497,0.995,0.78342,0.92367,1.79091,1.56786,0.000395194,0.000395194,0.000395194
65,416.937,0.52855,0.9552,1.11142,0.93974,0.97497,0.995,0.78342,0.92367,1.79091,1.56786,0.000390905,0.000390905,0.000390905
66,423.231,0.49643,0.99703,1.05292,0.9713,0.91699,0.995,0.796,1.00409,1.82215,1.79779,0.000386286,0.000386286,0.000386286
67,429.39,0.41738,0.76839,1.00977,0.9713,0.91699,0.995,0.796,1.00409,1.82215,1.79779,0.000381336,0.000381336,0.000381336
68,435.593,0.49912,0.85219,1.04336,0.9713,0.91699,0.995,0.796,1.00409,1.82215,1.79779,0.000376057,0.000376057,0.000376057
69,441.747,0.49563,0.79988,1.04033,0.96722,0.90326,0.995,0.80839,0.95784,1.87142,1.91546,0.000370447,0.000370447,0.000370447
70,447.885,0.46067,0.81831,1.05379,0.96722,0.90326,0.995,0.80839,0.95784,1.87142,1.91546,0.000364508,0.000364508,0.000364508
71,454.138,0.43982,0.79297,1.02757,0.96722,0.90326,0.995,0.80839,0.95784,1.87142,1.91546,0.000358238,0.000358238,0.000358238
72,460.428,0.41055,0.85354,0.96347,0.907,0.9189,0.995,0.77104,0.89949,1.97088,1.84184,0.000351639,0.000351639,0.000351639
73,466.591,0.41696,0.76384,1.04283,0.907,0.9189,0.995,0.77104,0.89949,1.97088,1.84184,0.000344709,0.000344709,0.000344709
74,472.995,0.41604,0.73441,0.95127,0.907,0.9189,0.995,0.77104,0.89949,1.97088,1.84184,0.000337449,0.000337449,0.000337449
