epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.615,1.17874,2.56215,1.46972,0.20244,0.21429,0.11488,0.06141,1.86622,52.8483,2.66025,0.0704615,0.00328205,0.00328205
2,765.541,1.44136,2.18119,1.65192,0.34663,0.11237,0.02258,0.007,3.11577,25.1419,5.08686,0.0402432,0.00639708,0.00639708
3,1131.99,1.51125,2.10668,1.66658,0.05088,0.1403,0.02,0.00685,2.74859,5.31103,4.03879,0.00980492,0.0092921,0.0092921
4,1497.21,1.47693,1.92842,1.64299,0.68078,0.15419,0.15615,0.07495,2.17202,4.10217,2.93632,0.00901,0.00901,0.00901
5,1871.53,1.40602,1.77985,1.57106,0.07116,0.33866,0.10678,0.04737,2.32364,45.9871,3.03096,0.00868,0.00868,0.00868
6,2232.83,1.329,1.64593,1.53022,0.33592,0.50259,0.45878,0.24688,1.72529,2.12222,2.31903,0.00835,0.00835,0.00835
7,2593.32,1.28099,1.50135,1.50015,0.68286,0.46438,0.54518,0.33898,1.43131,2.00783,1.83681,0.00802,0.00802,0.00802
8,2950.68,1.22337,1.48083,1.46166,0.61124,0.53154,0.58017,0.37561,1.35321,2.06535,1.7329,0.00769,0.00769,0.00769
9,3310.11,1.22288,1.42163,1.43702,0.44706,0.73224,0.64093,0.42718,1.22144,1.92071,1.57264,0.00736,0.00736,0.00736
10,3671.3,1.20478,1.41868,1.42773,0.66088,0.65765,0.71686,0.49158,1.15687,1.37531,1.51644,0.00703,0.00703,0.00703
11,4031.84,1.13216,1.27061,1.38525,0.622,0.65445,0.7473,0.51938,1.06207,1.5432,1.45017,0.0067,0.0067,0.0067
12,4393.18,1.14427,1.27152,1.38364,0.65527,0.76959,0.80135,0.50859,1.25531,1.19459,1.62391,0.00637,0.00637,0.00637
13,4753.12,1.07376,1.19542,1.34448,0.84495,0.65276,0.83133,0.58972,1.04546,1.13754,1.4328,0.00604,0.00604,0.00604
14,5110.43,1.04456,1.13322,1.3311,0.71539,0.78677,0.85475,0.57846,1.06167,1.016,1.41823,0.00571,0.00571,0.00571
15,5472.62,0.9982,1.05289,1.30416,0.87549,0.70357,0.85661,0.62266,1.00941,1.03607,1.41727,0.00538,0.00538,0.00538
16,5830.78,1.01976,1.06646,1.30733,0.64836,0.72722,0.76879,0.54771,0.9692,1.26195,1.3826,0.00505,0.00505,0.00505
17,6190.55,0.97799,1.03816,1.29013,0.68409,0.75697,0.80965,0.59179,0.9507,1.14368,1.34262,0.00472,0.00472,0.00472
18,6549.17,0.96498,1.00541,1.28168,0.76638,0.78463,0.9,0.67065,0.87865,0.83382,1.30583,0.00439,0.00439,0.00439
19,6909.54,0.93336,0.94198,1.26047,0.86434,0.75955,0.88713,0.66528,0.86975,0.947,1.2777,0.00406,0.00406,0.00406
20,7269.93,0.90093,0.91795,1.24057,0.80386,0.88146,0.92087,0.70079,0.85785,0.75295,1.27561,0.00373,0.00373,0.00373
21,7625.64,0.80311,0.80272,1.22695,0.87655,0.76125,0.8874,0.64116,0.97687,0.90153,1.37599,0.0034,0.0034,0.0034
22,7981.73,0.77569,0.76378,1.20661,0.85806,0.78685,0.9143,0.69907,0.83153,0.83695,1.23381,0.00307,0.00307,0.00307
23,8337.41,0.72111,0.68189,1.15136,0.81645,0.79577,0.86016,0.65953,0.90611,0.96042,1.34401,0.00274,0.00274,0.00274
24,8701.68,0.71643,0.65231,1.13736,0.88138,0.84865,0.93614,0.72733,0.80683,0.70752,1.21557,0.00241,0.00241,0.00241
25,9074.33,0.68438,0.61579,1.12183,0.78527,0.88205,0.91025,0.72157,0.77271,0.77386,1.19366,0.00208,0.00208,0.00208
26,9427.89,0.65831,0.59016,1.10663,0.81752,0.87971,0.92918,0.75518,0.70419,0.67241,1.12918,0.00175,0.00175,0.00175
27,9784.68,0.61218,0.55651,1.08042,0.78894,0.89776,0.90906,0.72284,0.72786,0.7221,1.15552,0.00142,0.00142,0.00142
28,10138.4,0.62266,0.54556,1.05976,0.79389,0.9317,0.9198,0.75198,0.67365,0.67561,1.11426,0.00109,0.00109,0.00109
29,10494.2,0.58894,0.52125,1.06125,0.81296,0.92271,0.94095,0.77511,0.64005,0.63985,1.0769,0.00076,0.00076,0.00076
30,10849.5,0.54603,0.4888,1.03378,0.94257,0.81268,0.93451,0.7866,0.6128,0.65965,1.06862,0.00043,0.00043,0.00043
