epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.637,0.87166,0.89777,1.20046,0.84435,0.4904,0.66299,0.48277,1.07786,2.04233,1.42577,0.0704615,0.00328205,0.00328205
2,748.898,1.01233,1.07827,1.31244,0.78959,0.5549,0.74067,0.48364,1.22269,1.4065,1.64766,0.0403623,0.00651615,0.00651615
3,1118.47,1.04639,1.12797,1.33008,0.62496,0.58596,0.63429,0.4275,1.21672,1.69032,1.61896,0.0101631,0.00965026,0.00965026
4,1492.11,1.08267,1.1406,1.35231,0.69411,0.57847,0.67237,0.42256,1.40058,1.59406,1.7777,0.00955,0.00955,0.00955
5,1867.09,1.08895,1.15986,1.34707,0.68872,0.60332,0.71177,0.43866,1.39547,1.82136,1.83339,0.0094,0.0094,0.0094
6,2239.38,1.04937,1.08538,1.32614,0.57166,0.69664,0.71987,0.45773,1.24189,1.46528,1.65718,0.00925,0.00925,0.00925
7,2610.63,1.02783,1.04044,1.32739,0.6726,0.65921,0.69757,0.40595,1.44744,1.45967,1.89423,0.0091,0.0091,0.0091
8,2978.72,1.01718,1.03893,1.30531,0.6678,0.75455,0.7932,0.56805,1.00281,1.12071,1.42897,0.00895,0.00895,0.00895
9,3349.4,1.01531,1.02344,1.28462,0.75246,0.82086,0.87623,0.63705,0.9787,0.95467,1.33984,0.0088,0.0088,0.0088
10,3728.58,1.05055,1.05162,1.32464,0.86415,0.75632,0.87925,0.62893,1.00809,0.99857,1.40059,0.00865,0.00865,0.00865
11,4103.53,0.9925,0.98332,1.29241,0.90101,0.72704,0.88856,0.64897,0.94261,0.90084,1.33762,0.0085,0.0085,0.0085
12,4472.54,1.00864,1.01307,1.30284,0.70709,0.74592,0.78138,0.53277,1.11657,1.09703,1.53506,0.00835,0.00835,0.00835
13,4841.86,0.97532,0.97345,1.27956,0.7917,0.71035,0.84573,0.61699,0.97254,1.17212,1.36311,0.0082,0.0082,0.0082
14,5210.97,0.97241,0.94443,1.27886,0.86641,0.82542,0.89099,0.63261,0.99106,0.91822,1.3805,0.00805,0.00805,0.00805
15,5581.13,0.93177,0.90192,1.26309,0.92073,0.76694,0.91224,0.66837,1.00272,0.95053,1.41157,0.0079,0.0079,0.0079
16,5951.51,0.97344,0.9227,1.26641,0.78335,0.87795,0.91778,0.68089,0.89305,0.86564,1.32364,0.00775,0.00775,0.00775
17,6320.28,0.94292,0.90643,1.26504,0.85234,0.65893,0.79053,0.54805,1.04147,1.38489,1.47906,0.0076,0.0076,0.0076
18,6689.41,0.90616,0.88561,1.24062,0.81821,0.87204,0.92017,0.68921,0.89452,0.76155,1.32381,0.00745,0.00745,0.00745
19,7058.13,0.90843,0.85856,1.24246,0.89869,0.78334,0.91784,0.6835,0.87829,0.83781,1.28852,0.0073,0.0073,0.0073
20,7428.41,0.8971,0.85358,1.23908,0.76672,0.88753,0.89413,0.66066,0.88729,0.73927,1.29101,0.00715,0.00715,0.00715
21,7795.85,0.94432,0.89533,1.25438,0.86773,0.77087,0.87101,0.62834,0.9814,0.92322,1.37502,0.007,0.007,0.007
22,8162.92,0.90317,0.85948,1.23216,0.83598,0.79962,0.92143,0.6757,0.85614,0.80983,1.28922,0.00685,0.00685,0.00685
23,8534.9,0.89308,0.85408,1.23716,0.79254,0.85618,0.88859,0.68388,0.83522,0.81436,1.23909,0.0067,0.0067,0.0067
24,8903.97,0.86334,0.81132,1.21997,0.77258,0.85681,0.91179,0.68617,0.85703,0.74583,1.24281,0.00655,0.00655,0.00655
25,9273.01,0.8669,0.82146,1.21091,0.88281,0.81229,0.90629,0.66633,0.89392,0.83993,1.29357,0.0064,0.0064,0.0064
26,9641.96,0.83365,0.77723,1.19907,0.89298,0.82556,0.92075,0.70718,0.8212,0.72108,1.24675,0.00625,0.00625,0.00625
27,10012.1,0.84245,0.80743,1.19563,0.90932,0.80934,0.886,0.67655,0.8367,0.82585,1.25278,0.0061,0.0061,0.0061
28,10378.4,0.83758,0.78498,1.20179,0.82245,0.86233,0.89941,0.70207,0.88169,0.7719,1.28175,0.00595,0.00595,0.00595
29,10745.9,0.82842,0.77442,1.19231,0.77684,0.85084,0.8938,0.69267,0.82142,0.73954,1.24095,0.0058,0.0058,0.0058
30,11114,0.82588,0.76685,1.19817,0.90909,0.76683,0.89367,0.67712,0.86932,0.82237,1.26907,0.00565,0.00565,0.00565
31,11482.6,0.84653,0.76769,1.20156,0.76731,0.90737,0.93664,0.74794,0.73918,0.65218,1.17657,0.0055,0.0055,0.0055
32,11851.3,0.79305,0.73703,1.18137,0.91253,0.81113,0.91084,0.71646,0.75998,0.76741,1.2113,0.00535,0.00535,0.00535
33,12221.3,0.77323,0.72509,1.15742,0.78951,0.89114,0.92458,0.70595,0.81352,0.71785,1.25496,0.0052,0.0052,0.0052
34,12588.4,0.79682,0.74737,1.17267,0.90204,0.81519,0.93464,0.73427,0.74008,0.69988,1.1854,0.00505,0.00505,0.00505
35,12957.4,0.79081,0.72857,1.17107,0.90836,0.809,0.93842,0.73374,0.78907,0.71021,1.2068,0.0049,0.0049,0.0049
36,13327.8,0.79367,0.72151,1.17438,0.79491,0.92156,0.94733,0.7447,0.74838,0.62234,1.17166,0.00475,0.00475,0.00475
37,13697.9,0.75301,0.68395,1.14307,0.81977,0.92144,0.93671,0.7411,0.77906,0.59042,1.21275,0.0046,0.0046,0.0046
38,14067.1,0.76196,0.737,1.1547,0.91015,0.79607,0.91026,0.72101,0.71744,0.74692,1.13751,0.00445,0.00445,0.00445
39,14436.6,0.75873,0.68577,1.15949,0.89127,0.89728,0.93828,0.75046,0.7604,0.646,1.18269,0.0043,0.0043,0.0043
40,14806.4,0.73923,0.66512,1.14614,0.94168,0.82767,0.95283,0.77148,0.71716,0.64586,1.1568,0.00415,0.00415,0.00415
41,15174.2,0.74983,0.66894,1.14105,0.80089,0.92572,0.95011,0.78501,0.67947,0.59388,1.10811,0.004,0.004,0.004
42,15544.2,0.75232,0.67256,1.13773,0.93929,0.81621,0.95073,0.76888,0.71206,0.63292,1.12512,0.00385,0.00385,0.00385
43,15914.8,0.72236,0.64323,1.12564,0.84713,0.89605,0.95624,0.78494,0.68084,0.58693,1.12041,0.0037,0.0037,0.0037
44,16284.2,0.72215,0.64354,1.13004,0.77483,0.92293,0.92953,0.75304,0.68976,0.63324,1.13819,0.00355,0.00355,0.00355
45,16654.2,0.71603,0.64318,1.12697,0.79708,0.91223,0.93739,0.77137,0.66874,0.57972,1.12534,0.0034,0.0034,0.0034
46,17023.6,0.71025,0.61054,1.11051,0.84348,0.90072,0.93133,0.76182,0.69447,0.57383,1.15572,0.00325,0.00325,0.00325
47,17402,0.69923,0.5936,1.10711,0.92284,0.83748,0.93663,0.77429,0.70493,0.62124,1.13059,0.0031,0.0031,0.0031
48,17785.1,0.70006,0.60607,1.11233,0.79253,0.92748,0.95179,0.7724,0.66739,0.57682,1.08412,0.00295,0.00295,0.00295
49,18156,0.6739,0.60316,1.1098,0.94112,0.83418,0.94144,0.77499,0.65806,0.59716,1.0952,0.0028,0.0028,0.0028
50,18526.9,0.68012,0.60589,1.10871,0.80089,0.92471,0.9535,0.7907,0.64622,0.56747,1.08894,0.00265,0.00265,0.00265
