epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5434,1.00272,2.64708,1.37478,1,0.1122,0.31233,0.23566,0.70675,2.91286,1.10711,0.00022864,0.00022864,0.00022864
2,208.701,0.80084,1.47208,1.23868,0.98921,0.2916,0.61449,0.43582,0.80883,2.56118,1.20814,0.000315952,0.000315952,0.000315952
3,324.039,0.73049,1.24121,1.19427,0.93809,0.41219,0.70453,0.47123,0.64113,1.67126,1.06483,0.00024293,0.00024293,0.00024293
