epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.466,0.94346,2.53407,1.32155,1,0.22622,0.35642,0.27676,0.70086,2.89841,1.09861,0.0002858,0.0002858,0.0002858
2,373.796,0.77843,1.45887,1.19224,0.9736,0.29317,0.65223,0.41288,0.77249,2.14093,1.21915,0.000392546,0.000392546,0.000392546
3,25774.3,0.77833,1.36476,1.19801,0.97427,0.36777,0.78009,0.59882,0.72512,1.92018,1.13476,0.000301233,0.000301233,0.000301233
