epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.844,1.28474,3.97828,1.80629,0.00338,1,0.50903,0.31877,0.76477,3.7696,1.31108,3.334e-05,3.334e-05,3.334e-05
2,49.7324,0.99804,3.72824,1.57844,0.00329,1,0.64059,0.45843,0.68427,3.67892,1.27082,7.50984e-05,7.50984e-05,7.50984e-05
3,71.9237,0.84936,3.27546,1.47571,0.00322,1,0.67531,0.51236,0.7067,3.69643,1.30897,0.000106955,0.000106955,0.000106955
4,93.7926,0.78916,2.86336,1.43784,0.0032,1,0.64166,0.42064,0.7956,3.67249,1.35482,0.000128909,0.000128909,0.000128909
5,115.604,0.59942,2.41228,1.26242,0.0032,1,0.68417,0.48049,0.74724,3.56486,1.31814,0.000140962,0.000140962,0.000140962
6,140.781,0.68805,2.21151,1.28277,0.00319,1,0.72594,0.51667,0.7504,3.52838,1.35518,0.000143112,0.000143112,0.000143112
7,164.032,0.64506,2.13428,1.17261,0.00317,1,0.79024,0.60266,0.70084,3.45689,1.22757,0.00013536,0.00013536,0.00013536
8,186.193,0.57185,2.02855,1.13813,0.00317,1,0.84012,0.65411,0.65788,3.44575,1.17995,0.000117707,0.000117707,0.000117707
9,207.838,0.59514,2.09592,1.14744,0.00317,1,0.89607,0.70799,0.63612,3.38131,1.16168,9.01514e-05,9.01514e-05,9.01514e-05
10,231.391,0.57325,1.88771,1.09731,0.00317,1,0.90279,0.72614,0.62552,3.34039,1.15013,5.26939e-05,5.26939e-05,5.26939e-05
