epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.877,1.49125,2.76276,1.68464,0.2282,0.12719,0.00892,0.00274,3.34504,91.6884,5.03387,0.0704615,0.00328205,0.00328205
2,771.165,1.65169,2.33633,1.80653,0.13759,0.17619,0.02774,0.01017,2.56682,228.5,4.11459,0.0382785,0.00443231,0.00443231
3,1137.61,1.50033,1.99614,1.65724,0.80403,0.23709,0.29526,0.17508,1.50536,2.73015,1.97884,0.00389538,0.00338256,0.00338256
