epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68364,1.02365,2.9105,1.5298,0.00409,1,0.48219,0.39409,0.70653,3.27591,1.41624,0,0,0
2,15.7122,1.22368,2.88605,1.52052,0.00408,1,0.49527,0.40519,0.70831,3.28177,1.40466,1.33693e-05,1.33693e-05,1.33693e-05
3,22.8902,0.97116,2.81432,1.39564,0.00403,1,0.57937,0.46381,0.69744,3.26766,1.37767,2.01374e-05,2.01374e-05,2.01374e-05
4,29.9416,0.96272,2.86598,1.3891,0.00399,1,0.57081,0.47842,0.66805,3.28261,1.34958,2.03041e-05,2.03041e-05,2.03041e-05
5,35.9457,0.87027,2.87975,1.40378,0.00396,1,0.5821,0.49,0.65389,3.27782,1.33566,1.38694e-05,1.38694e-05,1.38694e-05
