epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6,1.07549,2.98497,1.52561,0.00332,1,0.54098,0.3458,0.74936,3.7472,1.29677,3.334e-05,3.334e-05,3.334e-05
2,55.0958,0.98239,2.89647,1.42538,0.00315,1,0.75479,0.58576,0.62793,3.61563,1.19125,8.00493e-05,8.00493e-05,8.00493e-05
3,80.3131,0.87991,2.64656,1.30517,0.00316,1,0.85021,0.66484,0.57798,3.58154,1.15363,0.000122798,0.000122798,0.000122798
4,105.365,0.77076,2.28067,1.25268,0.00321,1,0.8198,0.59835,0.64051,3.57326,1.20749,0.000161586,0.000161586,0.000161586
5,131.732,0.77313,1.99738,1.26158,0.00332,1,0.72046,0.49353,0.83031,3.54842,1.34555,0.000196413,0.000196413,0.000196413
6,160.302,0.84438,1.74743,1.29652,0.00341,1,0.7273,0.47909,0.88507,3.52344,1.41741,0.000227279,0.000227279,0.000227279
7,188.563,0.77616,1.56605,1.2707,0.00337,1,0.63633,0.42179,0.97734,3.58299,1.47456,0.000254184,0.000254184,0.000254184
8,215.493,0.71955,1.49648,1.22576,0.00328,1,0.61237,0.39239,1.09415,3.65415,1.56412,0.000277129,0.000277129,0.000277129
9,241.68,0.74094,1.37894,1.21213,0.00316,1,0.82892,0.57108,0.97995,3.42586,1.48163,0.000296113,0.000296113,0.000296113
10,268.329,0.72721,1.28497,1.20499,1,0.34003,0.89839,0.68714,0.87555,3.10816,1.38067,0.000311136,0.000311136,0.000311136
11,296.058,0.73376,1.18709,1.22917,0.94918,0.62456,0.94286,0.74882,0.82214,2.91179,1.35407,0.000322198,0.000322198,0.000322198
12,324.303,0.67984,1.12461,1.17143,0.9356,0.62824,0.92851,0.70258,0.84548,2.96837,1.3987,0.000329299,0.000329299,0.000329299
13,352.685,0.63407,1.10791,1.1471,0.92018,0.63689,0.95786,0.71388,0.88156,3.0631,1.43241,0.00033244,0.00033244,0.00033244
14,377.097,0.733,1.11316,1.17342,0.93652,0.81537,0.96083,0.69833,0.95735,2.97399,1.4698,0.00033162,0.00033162,0.00033162
15,399.96,0.68981,1.13387,1.17569,0.94381,0.9353,0.955,0.68739,0.98475,2.73007,1.52721,0.000326839,0.000326839,0.000326839
16,422.855,0.64337,2.11689,1.18583,0.92408,0.86949,0.93082,0.64877,0.97447,2.81933,1.53225,0.000318097,0.000318097,0.000318097
17,444.965,0.59659,1.89356,1.17887,0.73028,0.825,0.85925,0.62595,0.99073,2.84935,1.56617,0.000305394,0.000305394,0.000305394
18,467.4,0.60058,1.80826,1.17354,0.74854,0.81331,0.89202,0.67502,0.88872,2.79268,1.46573,0.000288731,0.000288731,0.000288731
19,489.726,0.47806,1.66136,0.98725,0.80883,0.825,0.87952,0.66811,0.84757,2.79869,1.41547,0.000268107,0.000268107,0.000268107
20,512.51,0.4578,1.65845,1.06199,0.80198,0.8875,0.87683,0.69196,0.80035,2.77856,1.32293,0.000243522,0.000243522,0.000243522
21,535.472,0.47161,1.64856,1.04982,0.87151,0.79545,0.87667,0.68072,0.8333,2.68887,1.34154,0.000214976,0.000214976,0.000214976
22,557.716,0.42533,1.48374,0.98883,0.79175,0.85273,0.89425,0.67833,0.87959,2.75971,1.39809,0.00018247,0.00018247,0.00018247
23,580.265,0.46596,1.47633,1.06205,0.78829,0.85067,0.8947,0.67225,0.86723,2.77211,1.37545,0.000146003,0.000146003,0.000146003
24,603.656,0.41974,1.44345,1.03919,0.791,0.85552,0.8896,0.69619,0.84455,2.72173,1.34232,0.000105574,0.000105574,0.000105574
25,626.485,0.38467,1.43282,1.00632,0.79545,0.86305,0.88953,0.7024,0.80535,2.62273,1.2934,6.11856e-05,6.11856e-05,6.11856e-05
